1|125.61.29.146|125.61.0.0|125.61.127.255|mnd.go.kr|23575|SKB-GOV-KR SK Broadband Co Ltd|KR|IP Manager|(+82-80-8282-106|ip-adm@skbroadband.com|Seoul Jung-gu Toegye-ro 24|
2|210.89.164.90|210.89.160.1|210.89.191.255|naver.com|23576|nhn-AS-KR Nbp|KR|IP Manager|(+82-31-1588-3820|dl_noc@navercorp.com|Gyeonggi-do Bundang-gu, Seongnam-si Bundangnaegok-ro|
3|117.52.47.78|117.52.0.0|117.52.255.255|gmarket.co.kr|3786|LGDACOM LG DACOM Corporation|KR|IP Manager|(+82-2-2086-2500|"ip@kidc.net"|Seoul Yongsan-gu Hangang-daero 32|
4|218.145.68.187|218.144.0.0|218.151.255.255|joins.com|4766|KIXS-AS-KR Korea Telecom, KR|KR|IP Manager|(+82-2-500-6630|kornet_ip@kt.com|Gyeonggi-do Bundang-gu, Seongnam-si Buljeong-ro 90|
5|210.115.192.7|210.115.192.0|210.115.223.255|kbs.co.kr|7558|KBS-AS Korean Broadcasting System (KBS), KR|KR|IP Manager|(+82-2-781-1000|webmaster@kbs.co.kr|Seoul Yeongdeungpo-gu Yeouigongwon-ro 13|
6|203.133.167.16|203.133.160.0|203.133.191.255|daum.net|9764|DAUM-NET Kakao Corp|KR|IP Manager|(+82-2-500-6630|kornet_ip@kt.com|Gyeonggi-do Bundang-gu, Seongnam-si Buljeong-ro 90|
7|210.115.155.100|210.115.128.0|210.115.159.255|donga.com|4766|KIXS-AS-KR Donga|KR|IP Manager|(+82-2-360-0344|webmaster@donga.com|Seoul Seodaemun-gu Chungjeong-ro 29|
8|183.111.131.60|183.96.0.0|183.127.255.255|auction.co.kr|4766|KIXS-AS-KR Korea Telecom|KR|IP Manager|(+82-2-500-6630|kornet_ip@kt.com|Gyeonggi-do Bundang-gu, Seongnam-si Buljeong-ro 90|
9|211.42.85.240|211.42.64.0|211.42.127.255|g2b.go.kr|9316|DACOM-PUBNETPLUS-AS-KR DACOM-PUBNETPLUS|KR|IP Manager|(+82-2-6440-2925||Dacom Bldg. 706-1, Yoeksam-Dong, Kangnam-Ku, Seoul, South Korea|
10|13.209.227.83|13.208.0.0|13.211.255.255|chosun.com|16509|AMAZON-02 - Amazon.com, Inc.|US||(+1-206-266-4064||"	410 Terry Ave N. 12 Floor Gs Tower, 508 Nonhyun-Ro, Gangnam-Gu, Seoul, WA, 98109, KR"|410 Terry Ave N. 12 Floor Gs Tower, 508 Nonhyun-Ro, Gangnam-Gu, Seoul, WA, 98109, KR
11|1.209.199.227|1.208.0.0|1.223.255.255|kisa.or.kr|3786|LGDACOM LG DACOM Corporation|KR|IP Manager|(+82-2-6440-2925||Dacom Bldg. 706-1, Yoeksam-Dong, Kangnam-Ku, Seoul, South Korea|
12|113.217.247.100|113.216.0.0|113.217.255.255|11st.co.kr|9644|SKTELECOM-NET-AS Sk-Telecom|KR|IP Manager|(+82-2-1599-0011|sktsec@sk.com|Seoul Jung-gu Eulji-ro 65|
13|52.78.145.30|52.64.0.0|52.79.255.255|nexon.com|16509|AMAZON-02 Amazon Technologies Inc.|KR?|||||
14|211.231.108.151|211.226.0.0|211.231.255.255|tistory.com|38099|KAKAO-AS-KR Kornet|KR|IP Manager|(+82-2-500-6630|kornet_ip@kt.com|Gyeonggi-do Bundang-gu, Seongnam-si Buljeong-ro 90|
15|210.97.37.11|210.97.16.0|210.97.39.255|nps.or.kr|17844|NPS01-AS-KR National Pension Service|KR|IP Manager|(+82-2-500-6631|kornet_ip@kt.com|Gyeonggi-do Bundang-gu, Seongnam-si Buljeong-ro 91|
16|125.60.35.230|125.60.0.0|125.60.63.255|gov.kr|17841|NCIA-AS-KR NATIONAL INFORMATION RESOURCES SERVICE|KR|IP Manager|(+82-42-250-5742|irt@nic.or.kr|Jeollanam-Do Naju-Si Jinheung-Gil|
17|116.67.103.140|116.67.0.0|116.67.127.255|hometax.go.kr|17841|NCIA-AS-KR NATIONAL INFORMATION RESOURCES SERVICE, KR|KR|IP Manager|(+82-42-250-5742|irt@nic.or.kr|Jeollanam-Do Naju-Si Jinheung-Gil|
18|114.70.96.110|114.70.0.0|114.71.255.255|kosaf.go.kr|45408|KOSOF-AS-KR KOSAF|KR|IP Manager|(+82-2-880-5364|kindman@snu.ac.kr|Seoul Gwanak-gu Gwanak-ro|
19|121.125.60.151|121.124.0.0|121.125.255.255|dcinside.com|9318|SKB-AS SK Broadband Co Ltd|KR|IP Manager|(+82-80-8282-106|ip-adm@skbroadband.com|Seoul Jung-gu Toegye-ro 24|
20|103.105.160.10|103.105.160.0|103.105.163.255|nec.go.kr|38683|NEC-AS-KR National Electoin Commission, KR|KR|IP Manager|(+82-2-504-2761|hwanghyejung@nec.go.kr|Gyeonggi-do Gwacheon-si Hongchonmal-ro 44|
21|211.233.80.53|211.233.80.0|211.233.95.255|ahnlab.com|3786|LGDACOM LG DACOM Corporation|KR|IP Manager|(+82-2-2086-2500|ip@kidc.net|Seoul Yongsan-gu Hangang-daero 32|
22|222.122.70.51|222.96.0.0|222.122.255.255|hanatour.com|4766|KIXS-AS-KR Korea Telecom, KR|KR|IP Manager|(+82-2-500-6630|kornet_ip@kt.com|Gyeonggi-do Bundang-gu, Seongnam-si Buljeong-ro 90|
23|203.233.85.2|203.233.0.0|203.233.127.255|kyobo.co.kr|3786|LGDACOM LG DACOM Corporation|KR|IP Manager|(+82-2-2086-2500|ip@kidc.net|Seoul Yongsan-gu Hangang-daero 32|
24|27.101.209.196|27.101.0.0|27.101.255.255|open.go.kr|17841|NCIA-AS-KR National Information Resources Service|KR|IP Manager|(+82-42-250-5742|modomain@korea.kr|Daejeon Yuseong-gu Daedeok-daero 755|
25|211.115.83.234|211.115.64.0|211.115.127.255|gabia.com|3786|LGDACOM LG DACOM Corporation|KR|IP Manager|(+82-2-2086-2500|ip@kidc.net|Seoul Yongsan-gu Hangang-daero 32|
26|210.124.165.161|210.124.0.0|210.124.255.255|uplus.co.kr|3786|LGDACOM LG DACOM Corporation|KR|IP Manager|(+82-2-2086-2500|ip@kidc.net|Seoul Yongsan-gu Hangang-daero 32|
27|203.247.66.240|203.247.64.0|203.247.127.255|weather.go.kr|10063|KMA-AS Korea Meteorological Administration|KR|IP Manager|(+82-42-869-0707|cert@kreonet.net|Daejeon Yuseong-gu Daehak-ro 245|
28|211.110.165.176|211.110.0.0|211.110.239.255|eugenes.co.kr|9318|SKB-AS SK Broadband Co Ltd, KR|KR|IP Manager|(+82-80-8282-106|ip-adm@skbroadband.com|Seoul Jung-gu Toegye-ro 24|
29|116.67.83.27|116.67.0.0|116.67.127.255|police.go.kr|17841|NCIA-AS-KR National Information Resources Service|KR|IP Manager|(+82-42-250-5742|modomain@korea.kr|Daejeon Yuseong-gu Daedeok-daero 755|
30|114.204.245.70|114.200.0.0|114.207.255.255|biz.skbroadband.com|9318|SKB-AS SK Broadband Co Ltd|KR|IP Manager|(+82-80-8282-106|ip-adm@skbroadband.com|Seoul Jung-gu Toegye-ro 24|
31|14.63.149.115|14.32.0.0|14.95.255.255|kt.com|4766|KIXS-AS-KR Korea Telecom|KR|IP Manager|(+82-2-500-6630|kornet_ip@kt.com|Gyeonggi-do Bundang-gu, Seongnam-si Buljeong-ro 90|
32|147.46.10.174|147.46.0.0|147.46.255.255|snu.ac.kr|9488|SNU-AS-KR Seoul National University, KR|KR|IP Manager|(+82-2-880-8282|ercc_net@snu.ac.kr|Seoul Gwanak-gu Gwanak-ro 1|
33|61.37.254.31|61.32.0.0|61.39.255.255|banking.nonghyup.com|9638|NH-AS National Agricultural Cooperative federation|KR|IP Manager|(+82-2-10-1|ipadm@lguplus.co.kr|Seoul Yongsan-gu Hangang-daero 32|
34|210.108.173.144|210.108.0.0|210.108.255.255|kbstar.com|3786|LGDACOM LG DACOM Corporation|KR|IP Manager|(+82-2-2086-2500|ip@kidc.net|Seoul Yongsan-gu Hangang-daero 32|
35|220.85.104.202|220.72.0.0|220.91.255.255|narusec.com|4766|KIXS-AS-KR Korea Telecom, KR|KR|IP Manager|(+82-2-500-6630|kornet_ip@kt.com|Gyeonggi-do Bundang-gu, Seongnam-si Buljeong-ro 90|
36|211.250.131.141|211.25.128.0|211.250.131.255|epost.go.kr|17841|NCIA-AS-KR NATIONAL INFORMATION RESOURCES SERVICE|KR|IP Manager|(+82-42-250-5742|modomain@korea.kr|Daejeon Yuseong-gu Daedeok-daero 755|
37|116.84.243.135|116.84.0.0|116.84.255.255|airport.kr|23908|AIRPORT-AS-KR liac|KR|IP Manager|(+82-32-741-6622|3910park@airport.kr|Incheon Jung-gu Gonghang-ro 424beon-gil 47|
38|211.173.34.139|211.173.0.0|211.173.127.255|customs.go.kr|17841|NCIA-AS-KR National Information Resources Service|KR|IP Manager|(+82-42-250-5742|modomain@korea.kr|Daejeon Yuseong-gu Daedeok-daero 755|
39|211.35.58.11|211.35.32.0|211.35.63.255|airport.co.kr|9316|DACOM-PUBNETPLUS-AS-KR Pubnetplus|KR|IP Manager|(+82-2-1-01|ipadm@lguplus.co.kr|Seoul Yongsan-gu Hangang-daero 32|
40|14.128.128.216|14.128.128.0|14.128.255.255|cafe24.com|4766|Cafe24 Corp.|KR|IP Manager|(+82-2-6276-1572|mkpark@cafe24corp.com|Seoul Dongjak-gu Boramae-ro 5-gil 15|
41|5.255.255.5|5.255.192.0|5.255.255.255|yandex.ru|13238|YANDEX, RU|RU||(+7-495-739-7000|info@yandex.ru|16, Leo Tolstoy Street Moscow, 119021 Russian Federation|
42|77.37.134.60|77.37.128.0|77.37.159.255|wikiznanie.ru|42610|NCNET-AS Ncnet|RU|RVP-RIPE|(+7 495 6859542|abuse@moscow.rt.ru|National Cable Networks, Nagatinskaya Str. 1, Bldn. 26, 117105, Moscow, Russia|
43|212.188.8.51|212.188.8.0|212.188.8.255|moskva.mts.ru|8359|MTS|RU|Aleksey Sadchikov|(+7-495-721-3499|noc@mtu.ru|PJSC MTS / former CJSC Comstar-Direct, Petrovsky blvd 12, bldg 3, P.O. BOX 4711, 127051, Moscow, Russia|
44|94.100.180.202|94.100.176.0|94.100.191.255|mail.ru|47764|MAILRU-AS Mail.Ru, RU|RU|Elena Yakupova|(+7-495-725-6357|noc@corp.mail.ru|Limited liability company Mail.Ru, Leningradskiy prospect, 39/79, 125167, Moscow, Russia|
45|85.26.148.161|85.26.128.0|85.26.255.255|moscow.megafon.ru|31213|MF-NWGSM-AS|RU||(+8-800-550-0500|abuse-mailbox@megafon.ru|"PJSC ""MegaFon"", 41, Oruzheyniy lane, 127006, Moscow, Russian Federation"|
46|81.19.74.6|81.19.64.0|81.19.95.255|livejournal.com|24638|RAMBLER-TELECOM-AS|RU|VP2246-RIPE|(+7 495 785-1700|abuse@rambler-co.ru|"""Rambler Internet Holding"" OJSC, Varshavskoe Highway, 9 building 1, Moscow, RU"|
47|193.232.108.67|193.232.108.0|193.232.108.255|x5.ru|44704|X5-RETAIL-GROUP-AS|RU|Scherbina Nikolay|(+7-495-777-1287||Russian Federation, Moscow, Petrovsko-Razumovsky passage, 28|
48|81.19.82.98|81.19.64.0|81.19.95.255|rambler.ru|24638|RAMBLER-TELECOM-AS|RU|VP2246-RIPE|(+7 495 785-1700|abuse@rambler-co.ru|"""Rambler Internet Holding"" OJSC, Varshavskoe Highway, 9 building 1, Moscow, RU"|
49|217.20.155.13|217.20.152.0|217.20.159.255|ok.ru|47764|MAILRU-AS Mail.Ru OK.RU Network|RU|Andrey Guba|(+7 495 725 6357||39/79, Leningradsky prospect, Moscow, Russia,125167|
50|194.67.1.14|194.67.1.0|194.67.1.255|rol.ru|3216|SOVAM-AS, RU|RU|||abuse-b2b@beeline.ru|111250  Russia Moscow, Krasnokazarmennaja, 12|
51|89.253.220.217|89.253.216.0|89.253.223.255|tashir.ru|41535|RUSONYX-AS|RU|Viktor Zaytsev|(+7 495 5089959||post office box # 19, 127137, Moscow, RUSSIAN FEDERATION|
52|185.129.100.135|185.129.100.0|185.129.103.255|ntv.ru|57724|DDOS-GUARD Ddos-guard LTD SUB|RU|NOC212-RIPE|(+7 495 2150387||Budennovskiy st. 62/2, floor 8, 344010, Rostov-on-Don, RUSSIAN FEDERATION|
53|82.202.190.91|82.202.184.0|82.202.191.255|rt.com|209030|KL-KDP Kaspersky Lab AO|RU|KLCR1-RIPE|(+7 495 7978700||39A/3, Leningradskoe Shosse, 125212, MOSCOW, RUSSIAN FEDERATION|
